Elo Rank,Player,Age,Elo,Unnamed: 4,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Unnamed: 11,Peak Elo,Peak Month,Unnamed: 14,WTA Rank,Log diff,NormName
145,Kamilla Rakhimova,23.7,1627.8,,152,1580.7,127,1593.9,185,1476.7,,1737.3,2024-09,,87,0.51,Rakhimova K.
146,Tatiana Prozorova,21.6,1626.4,,108,1647.1,173,1534.1,167,1488.2,,1730.1,2025-02,,154,-0.05,Prozorova T.
147,Nina Stojanovic,28.8,1626.0,,141,1592.6,126,1595.2,158,1499.6,,1752.9,2019-10,,173,-0.16,Stojanovic N.
148,Arantxa Rus,34.4,1626.0,,147,1587.9,120,1601.5,169,1486.0,,1774.5,2012-07,,91,0.49,Rus A.
149,Maja Chwalinska,23.6,1624.4,,150,1584.1,122,1599.1,135,1523.3,,1717.6,2024-07,,124,0.18,Chwalinska M.
150,Martina Trevisan,30.9,1624.0,,161,1572.1,110,1610.7,310,1384.6,,1803.7,2022-05,,189,-0.23,Trevisan M.
151,Varvara Lepchenko,39.0,1623.9,,146,1589.3,146,1564.5,145,1511.0,,1891.7,2015-01,,121,0.22,Lepchenko V.
152,Celine Naef,19.9,1623.4,,122,1622.6,214,1481.9,98,1577.4,,1713.2,2023-09,,178,-0.16,Naef C.
153,Victoria Jimenez Kasintseva,19.8,1620.0,,215,1494.4,112,1607.5,184,1477.5,,1630.3,2024-09,,135,0.13,Kasintseva V.
154,Dominika Salkova,20.9,1619.9,,139,1598.3,144,1565.3,211,1459.1,,1653.5,2024-05,,193,-0.23,Salkova D.
155,Oleksandra Oliynykova,24.4,1619.8,,326,1378.7,125,1595.5,170,1484.9,,1652.3,2025-06,,195,-0.23,Oliynykova O.
156,Valentina Ryser,24.2,1619.7,,182,1547.9,320,1371.2,79,1604.1,,1638.5,2025-06,,218,-0.33,Ryser V.
157,Anastasia Zakharova,23.3,1618.4,,149,1585.7,199,1503.5,139,1517.8,,1706.7,2024-10,,93,0.52,Zakharova A.
158,Anna Lena Friedsam,31.3,1618.1,,165,1565.5,149,1563.8,182,1478.8,,1842.9,2016-05,,232,-0.38,Friedsam A.
159,Teodora Kostovic,,1617.3,,205,1507.2,152,1561.2,174,1483.6,,1669.0,2025-05,,388,-0.89,Kostovic T.
160,Oceane Dodin,28.1,1615.6,,135,1604.1,190,1510.4,165,1492.6,,1827.7,2016-11,,349,-0.78,Dodin O.
161,Sinja Kraus,23.1,1612.3,,183,1547.8,153,1559.0,117,1541.0,,1711.3,2025-03,,153,0.05,Kraus S.
162,Priscilla Hon,27.0,1611.8,,132,1607.9,195,1506.0,204,1462.5,,1673.8,2019-10,,137,0.17,Hon P.
163,Iryna Shymanovich,27.9,1611.1,,200,1514.6,133,1580.8,266,1415.8,,1649.2,2023-08,,170,-0.04,Shymanovich I.
164,Mia Pohankova,,1609.8,,145,1589.9,273,1419.9,179,1479.9,,1685.9,2024-11,,469,-1.05,Pohankova M.
165,Maddison Inglis,27.4,1609.8,,157,1577.1,219,1465.9,161,1496.6,,1627.3,2025-04,,146,0.12,Inglis M.
166,Sofia Costoulas,20.1,1606.5,,148,1586.6,185,1523.3,183,1478.3,,1625.2,2025-05,,184,-0.1,Costoulas S.
167,Nao Hibino,30.4,1606.5,,164,1568.2,160,1549.3,171,1484.5,,1751.2,2015-09,,166,0.01,Hibino N.
168,Lucrezia Stefanini,27.0,1605.0,,175,1557.0,178,1526.9,134,1525.4,,1650.2,2024-12,,161,0.04,Stefanini L.
169,Tiantsoa Sarah Rakotomanga Rajaonah,,1603.2,,239,1470.0,145,1564.7,186,1476.6,,1621.0,2025-06,,181,-0.07,Rajaonah T.
170,Hanne Vandewinkel,21.0,1601.7,,172,1559.2,155,1555.9,188,1475.8,,1647.0,2025-04,,175,-0.03,Vandewinkel H.
171,Saisai Zheng,31.0,1601.0,,170,1560.8,168,1539.3,162,1495.5,,1827.5,2020-03,,596,-1.25,Zheng S.
172,Marina Stakusic,20.4,1599.7,,169,1561.1,197,1505.3,119,1539.4,,1794.3,2024-02,,130,0.28,Stakusic M.
173,Lauren Davis,31.6,1596.9,,144,1590.5,183,1523.7,124,1532.7,,1924.3,2017-03,,192,-0.1,Davis L.
174,Petra Marcinko,19.5,1595.8,,210,1500.5,136,1576.2,249,1430.5,,1674.0,2022-11,,177,-0.02,Marcinko P.
175,Darja Semenistaja,22.7,1594.0,,218,1488.0,132,1583.5,160,1497.0,,1710.3,2023-07,,129,0.3,Semenistaja D.
176,Ella Seidel,20.3,1592.3,,154,1578.3,161,1546.1,242,1432.6,,1753.5,2024-01,,110,0.47,Seidel E.
177,Zarina Diyas,31.6,1590.9,,167,1564.1,170,1536.1,147,1507.5,,1856.6,2015-02,,275,-0.44,Diyas Z.
